idx	id	difficulty	category	detail	question_en	question_ko
1	prompt-a-1	A	Routine	After Dinner	What do you usually do after dinner?	저녁을 먹고 난 뒤에는 보통 무엇을 하나요?
2	prompt-a-2	A	Preference	Favorite Food	What is your favorite food, and why do you like it?	가장 좋아하는 음식은 무엇이고, 왜 좋아하나요?
3	prompt-a-3	A	Routine	Weekend	How do you usually spend your weekend?	주말은 보통 어떻게 보내나요?
4	prompt-b-1	B	Problem Solving	Work or School Challenge	What is one challenge you often face at work or school, and how do you deal with it?	직장이나 학교에서 자주 겪는 어려움 한 가지와 그에 어떻게 대응하는지 말해 주세요.
5	prompt-b-2	B	Goal Plan	Travel Destination	Describe a city you want to visit and explain what you would like to do there.	가 보고 싶은 도시 하나를 설명하고, 그곳에서 무엇을 하고 싶은지 말해 주세요.
6	prompt-b-3	B	Goal Plan	Habit Building	What is one habit you want to build this year, and why is it important to you?	올해 만들고 싶은 습관 한 가지와 그것이 왜 중요한지 설명해 주세요.
7	prompt-c-1	C	Balanced Opinion	Technology and Relationships	How has technology changed the way people build relationships, and do you think that change is mostly positive?	기술이 사람들이 관계를 맺는 방식을 어떻게 바꾸었고, 그 변화가 대체로 긍정적인지 말해 주세요.
8	prompt-c-2	C	Opinion Reason	Corporate Responsibility	What social responsibilities should successful companies have in modern society?	현대 사회에서 성공한 기업이 어떤 사회적 책임을 가져야 하는지 말해 주세요.
9	prompt-c-3	C	Change Reflection	Personal Belief	Describe a belief you have changed over time and explain what caused that change.	시간이 지나며 바뀐 생각이나 신념 한 가지와, 그 변화가 왜 일어났는지 설명해 주세요.
10	prompt-a-4	A	Routine	After-Work Evenings	What do you usually do after work, and why do you enjoy it?	보통 퇴근 후에 무엇을 하고, 왜 그것을 좋아하는지 이야기해 주세요.
11	prompt-b-5	B	Goal Plan	Skill Growth	What is one skill you want to improve this year, and how will you practice it?	올해 키우고 싶은 능력 한 가지와 그것을 어떻게 연습할지 말해 주세요.
